,index,homepage,download_time,url,uuid
0,113,https://realclimatescience.com/,1,1,1
1,134,https://www.thegwpf.com,2,2,2
2,40,http://policlimate.com/,3,3,3
3,21,http://globalwarming-factorfiction.com,4,4,4
4,129,https://ubilibertas.wordpress.com/,8,8,8
5,46,http://theweatherwiz.blogspot.com/,10,10,10
6,68,http://www.paulmacrae.com/,18,18,18
7,133,https://www.iceagenow.info/,19,19,19
8,90,https://deadmanturner.wordpress.com/,20,20,20
9,117,https://statpad.wordpress.com,26,26,26
10,18,http://fakegate.org/,28,28,28
11,93,https://enthusiasmscepticismscience.wordpress.com/,28,28,28
12,9,http://climatecontrarian.blogspot.co.uk/,31,31,31
13,19,http://friendsofco2.blogspot.com/,32,32,32
14,38,http://perhapsallnatural.blogspot.com/,33,33,33
15,125,https://thepompousgit.wordpress.com/,38,38,38
16,126,https://treesfortheforest.wordpress.com/,41,41,41
17,130,https://unsettledclimate.org/,42,42,42
18,13,http://climatesense-norpag.blogspot.com/,46,46,46
19,136,wattsupwiththat.com,50,50,50
20,65,http://www.kiwithinker.com/,58,58,58
21,45,http://theinconvenientskeptic.com/,78,78,78
22,67,http://www.nocarbontax.com.au/,81,81,81
23,127,https://troyca.wordpress.com/,89,89,89
24,25,http://icecap.us/index.php/go/joes-blog,90,90,90
25,26,http://impactofcc.blogspot.com/,99,99,99
26,118,https://stevemosher.wordpress.com/,100,100,100
27,32,http://junkscience.com/,106,106,106
28,69,http://www.populartechnology.net/,107,107,107
29,81,https://calderup.wordpress.com/,123,123,123
30,11,http://climateguy.blogspot.com/,131,131,131
31,10,http://climateedinburgh.blogspot.com/,132,132,132
32,53,http://www.cgfi.org/,138,138,138
33,121,https://talkingabouttheweather.wordpress.com/,152,152,152
34,116,https://skepticalswedishscientists.wordpress.com/,160,160,160
35,75,https://3000quads.com/,162,162,162
36,86,https://climateofsophistry.com/,163,163,163
37,51,http://www.carlineconomics.com/,173,173,173
38,97,https://hauntingthelibrary.wordpress.com/,176,176,176
39,91,https://defyccc.com/,182,182,182
40,98,https://hiizuru.wordpress.com/,182,182,182
41,71,http://www.theclimategatebook.com/,182,182,182
42,94,https://geoffchambers.wordpress.com/,191,191,191
43,1,http://agw-heretic.blogspot.com/,198,198,198
44,87,https://climatesanity.wordpress.com/,199,199,199
45,70,http://www.theclimatebet.com/,224,224,224
46,114,https://rhinohide.wordpress.com/,237,237,237
47,115,https://scienceofdoom.com/,245,245,245
48,3,http://allrightallright.blogspot.com/,257,257,257
49,105,https://nigguraths.wordpress.com/,268,268,268
50,6,http://ccgi.newbery1.plus.com/blog/,271,271,271
51,72,http://www.thegwpf.org/,275,275,275
52,7,http://climatechangedispatch.com/,298,298,298
53,92,https://diggingintheclay.wordpress.com/,303,303,303
54,100,https://hypsithermal.wordpress.com/,303,303,303
55,14,http://clivebest.com/,317,317,317
56,43,http://scientificqa.blogspot.co.uk/,323,323,323
57,12,http://climatelessons.blogspot.com/,342,342,342
58,22,http://gustofhotair.blogspot.com/,352,352,352
59,128,https://trustyetverify.wordpress.com,373,373,373
60,15,http://co2coalition.org/,376,376,376
61,103,https://moyhu.blogspot.com/,399,399,399
62,124,https://thepointman.wordpress.com/,399,399,399
63,99,https://hro001.wordpress.com/,421,421,421
64,85,https://climatenonconformist.wordpress.com/,430,430,430
65,112,https://rclutz.wordpress.com/,479,479,479
66,64,http://www.hi-izuru.org/,487,487,487
67,104,https://nextgrandminimum.wordpress.com/,504,504,504
68,123,https://thelukewarmersway.wordpress.com/,514,514,514
69,88,https://co2insanity.com/,548,548,548
70,54,http://www.climate-resistance.org/,585,585,585
71,95,https://globalfreeze.wordpress.com/,596,596,596
72,111,https://polarbearscience.com/,600,600,600
73,41,http://principia-scientific.org/,610,610,610
74,55,http://www.climate-skeptic.com/,685,685,685
75,82,https://carbon-sense.com/,688,688,688
76,89,https://dddusmma.wordpress.com,688,688,688
77,50,http://www.carbonfolly.com/,721,721,721
78,16,http://devconsultancygroup.blogspot.com/,763,763,763
79,96,https://greenhellblog.com/,786,786,786
80,20,http://globalsham.blogspot.com/,804,804,804
81,61,http://www.globalclimatescam.com/,808,808,808
82,34,http://leastthing.blogspot.com/,826,826,826
83,60,http://www.drroyspencer.com/,844,844,844
84,109,https://omniclimate.wordpress.com/,848,848,848
85,107,https://nofrakkingconsensus.com/,864,864,864
86,58,http://www.coolibahconsulting.com.au/,868,868,868
87,33,http://klimazwiebel.blogspot.com/,878,878,878
88,0,http://adognamedkyoto.blogspot.com/,912,912,912
89,39,http://petesplace-peter.blogspot.com/,926,926,926
90,74,http://www.warwickhughes.com/blog/,1053,1053,1053
91,132,https://www.climateconversation.org.nz/,1065,1065,1065
92,77,https://anhonestclimatedebate.wordpress.com/,1095,1095,1095
93,56,http://www.climatecommonsense2.com/,1106,1106,1106
94,62,http://www.globalwarming.org/,1147,1147,1147
95,8,http://climatechangepredictions.org/,1184,1184,1184
96,80,https://bobtisdale.wordpress.com/,1202,1202,1202
97,135,https://www.thegwpf.com/,1216,1216,1216
98,29,http://jer-skepticscorner.blogspot.com/,1240,1240,1240
99,42,http://rogerpielkejr.blogspot.com/,1240,1240,1240
100,31,http://julesandjames.blogspot.com/,1240,1240,1240
101,35,http://newnostradamusofthenorth.blogspot.com/,1240,1240,1240
102,2,http://algorelied.com/,1253,1253,1253
103,44,http://scottishsceptic.co.uk/,1273,1273,1273
104,37,http://omnologos.com/,1378,1378,1378
105,106,https://noconsensus.wordpress.com/,1473,1473,1473
106,63,http://www.heliogenic.net/,1539,1539,1539
107,78,https://australianclimatemadness.com/,1545,1545,1545
108,79,https://autonomousmind.wordpress.com/,1545,1545,1545
109,110,https://pielkeclimatesci.wordpress.com/,1545,1545,1545
110,84,https://climateaudit.org,1549,1549,1549
111,59,http://www.coyoteblog.com/,1797,1797,1797
112,101,https://judithcurry.com/,1814,1814,1814
113,28,http://jennifermarohasy.com/,1857,1857,1857
114,17,http://factsnotfantasy.blogspot.com/,1858,1858,1858
115,48,http://wmbriggs.com/,2063,2063,2063
116,23,http://hallofrecord.blogspot.com/,2063,2063,2063
117,52,http://www.cfact.org/,2136,2136,2136
118,57,http://www.climatedepot.com/,2136,2136,2136
119,27,http://itsfaircomment-climategate.blogspot.com/,2158,2158,2158
120,102,https://motls.blogspot.com/,2158,2158,2158
121,4,http://antigreen.blogspot.com/,2159,2159,2159
122,47,http://tomnelson.blogspot.com/,2159,2159,2159
123,66,http://www.mikesmithenterprisesblog.com/,2159,2159,2159
124,24,http://hockeyschtick.blogspot.com/,2160,2160,2160
125,120,https://sunshinehours.net/,2197,2197,2197
126,83,https://chiefio.wordpress.com/,2331,2331,2331
127,76,https://americanelephant.wordpress.com/,2457,2457,2457
128,5,http://blog.heartland.org/,2458,2458,2458
129,119,https://stevengoddard.wordpress.com/,2461,2461,2461
130,108,https://notalotofpeopleknowthat.wordpress.com/,2462,2462,2462
131,122,https://tallbloke.wordpress.com,2462,2462,2462
132,36,http://notrickszone.com/,2463,2463,2463
133,49,http://www.c3headlines.com/,2463,2463,2463
134,73,http://www.timworstall.com/,2464,2464,2464
135,131,https://wattsupwiththat.com/,2466,2466,2466
136,30,http://joannenova.com.au/,2467,2467,2467
